"matricula","data_admissao","cargo","mes_referencia","remuneracao_bruta","remuneracao_eventual","beneficios","descontos_legais","remuneracao_liquida"
"175","25/03/1991","COORDENADOR DE TRANSPORTE FG2","8/2017","23246,08","0,00","0,00","7050,38","16195,70"
"82","01/10/1982","DIR. DE DIVISÃO DE SUPRIMENTOS","8/2017","23246,08","0,00","0,00","7325,05","15921,03"
"83","17/11/1982","DIR. DIV. ATENDIMENTO PLENÁRIO E PRESIDÊNCIA","8/2017","23246,08","0,00","0,00","6870,32","16375,76"
"84","18/03/1983","DIRETOR DE ASSUNTOS LEGISLATIVOS FG4","8/2017","23246,08","0,00","2557,07","8080,38","17722,77"
"371","26/08/2014","DIRETOR DE FINANCAS FG4","8/2017","16688,11","3212,51","0,00","4386,99","15513,63"
"165","25/02/1991","DIRETOR DE GESTAO DE PESSOAS FG4","8/2017","23246,08","0,00","0,00","7325,05","15921,03"
"192","02/05/1991","DIRETOR DE GESTAO DOCUMENTAL FG4","8/2017","0,00","63008,07","0,00","3888,98","59119,09"
"391","01/09/2014","DIRETOR DE GESTAO DOCUMENTAL FG4","8/2017","16688,11","0,00","0,00","4340,49","12347,62"
"72","09/04/1981","DIRETOR DE INFRAESTRUTURA E SERVICOS FG4","8/2017","23246,08","0,00","2557,07","7307,36","18495,79"
"176","03/04/1991","DIRETOR DE MATERIAIS E PATRIMONIO FG4","8/2017","23246,08","0,00","0,00","7220,78","16025,30"
"171","01/03/1991","DIRETOR DE TECNOLOGIA DA INFORMACAO E TELECOMUNICACAO FG4","8/2017","23246,08","0,00","0,00","7168,64","16077,44"
"80","23/07/1982","DIRETOR DIV.APOIO SERV.ATEND.","8/2017","23246,08","0,00","2557,07","8080,38","17722,77"
"242","07/11/1991","DIRETOR GERAL FG6","8/2017","23246,08","0,00","0,00","7377,19","15868,89"
"183","25/03/1991","ENC.UNID. ATEND.À PRESID.VER.","8/2017","23246,08","0,00","0,00","7325,05","15921,03"
"202","18/11/1991","ENCAR.UNID. ATAS, AUTÓGR. E PAUTAS","8/2017","23246,08","0,00","2557,07","8028,24","17774,91"
"85","28/03/1983","ENCAR.UNID.AUTUAÇÃO PROCESSUAL","8/2017","23246,08","0,00","2557,07","8080,38","17722,77"
"160","15/03/1991","ENCAR.UNID.DE CONTABILIDADE","8/2017","23246,08","0,00","0,00","7377,19","15868,89"
"2003","01/01/1993","FAXINEIRA","8/2017","12881,25","0,00","0,00","3700,27","9180,98"
"2007","01/01/1993","FAXINEIRA","8/2017","11823,75","0,00","1300,61","3682,78","9441,58"
"462","13/11/2014","MEDICO DO TRABALHO I","8/2017","6843,59","0,00","0,00","1558,40","5285,19"
"464","01/12/2014","MEDICO DO TRABALHO I","8/2017","6395,88","0,00","0,00","1347,44","5048,44"
"439","21/10/2014","MEMBRO DA COMISSAO DE SINDICANCIA FG1","8/2017","13046,20","0,00","1635,76","3871,11","10810,85"
"537","26/10/2016","MEMBRO DA COMISSAO DE SINDICANCIA FG1","8/2017","13046,20","0,00","1635,76","3923,24","10758,72"
"456","03/11/2014","MEMBRO DA COMISSAO PERMANENTE DE LICITACAO FG1","8/2017","7128,76","0,00","0,00","1269,92","5858,84"
